"2018
Shs m",Column,"2018
Shs m"
"9,660.6
(1,808.0)","10,624.9
(1,963.7)","7,523.5
(1,323.8)"
"7,852.6
(330.7)
(4,349.4)
(102.8)
(1,756.9)","8,661.2
(325.4)
(4,617.1)
(333.3)
(1,843.6)","6,199.7
(239.9)
(3,035.3)
(76.0)
(1,560.0)"
"1,312.8
243.5
77.7","1,541.8
319.0
93.8","1,288.5
212.5
-"
"1,634.0
(516.5)","1,954.6
(643.8)","1,501.0
(497.2)"
"1,117.5
(31.8)
(29.0)
-","1,310.8
(0.9)
33.9
7.1","1,003.8
-
-
-"
(60.8),40.1,-
"1,056.7","1,350.9","1,003.8"
"1,112.2
5.3","1,304.9
5.9","-
-"
"1,117.5","1,310.8",-
"1,052.9
3.8","1,344.9
6.0","-
-"
"1,056.7","1,350.9",-
5.9,6.9,
