Group,Column,Company
2019,"2018
Shs m
471.4
(136.4)
6,826.0
659.9",2019
Shs m,,Shs m
471.4,,471.4
(134.9),,99.5
"7,397.1",,"5,550.2"
-,,-
"7,733.6","7,820.9
56.7","6,121.1"
63.9,,-
"7,797.5","7,877.6","6,121.1"
,"27.6
-
2.4",
27.3,,-
692.2,,571.3
6.0,,6.0
725.5,30.0,577.3
"8,523.0","7,907.6","6,698.4"
,"617.3
1,999.8
69.3
225.8
1,373.8
-
309.8
174.2",
595.2,,426.2
"1,710.0",,"1,349.6"
871.6,,702.2
191.6,,167.7
"1,422.6",,94.6
-,,702.8
282.6,,206.0
111.1,,111.1
"5,184.7","4,770.0","3,760.2"
,"1,116.2
3,156.5
867.1
1,288.2
-",
656.7,,508.9
"3,623.0",,"2,874.1"
"1,039.0",,817.3
"1,520.0",,"1,362.0"
73.3,,40.5
"6,912.0","6,428.0","5,602.8"
,"2,729.5
527.2
-
33.7",
"2,906.0",,"2,046.0"
537.9,,515.1
129.8,,103.5
-,,-
"3,573.7","3,290.4","2,664.6"
"3,338.3","3,137.6","2,938.2"
"8,523.0","7,907.6","6,698.4"
