Current,30 Days,60 Days,90 days,120+ days,Total
Shs m,Shs m,Shs m,Shs m,Shs m,Shs m
211.5,200.4,161.4,100.7,"2,887.5","3,561.5"
(25.7),(24.6),(29.2),(16.5),"(1,670.0)","(1,766.0)"
185.8,175.8,132.2,84.2,"1,217.5","1,795.5"
