Freehold Plant and
land Buildings equipment Total
Shs m Shs m Shs m Shs m
"6.4 405.6 3,961.6 4,373.6"
"- (26.5) (2,527.8) (2,554.3)"
"6.4 379.1 1,433.8 1,819.3"
"6.4 379.1 1,433.8 1,819.3"
0.6 0.8 465.4 466.8
- - (39.0) (39.0)
- (9.8) (350.3) (360.1)
- (2.5) (2.4) (4.9)
"7.0 367.6 1,507.5 1,882.1"
"7.0 403.5 4,383.1 4,793.6"
"- (35.9) (2,875.6) (2,911.5)"
"7.0 367.6 1,507.5 1,882.1"
"7.0 367.6 1,507.5 1,882.1"
- - 452.4 452.4
- - (32.6) (32.6)
- (9.5) (344.5) (354.0)
- (11.2) (43.4) (54.6)
"7.0 346.9 1,539.4 1,893.3"
"7.0 390.5 4,722.5 5,120.0"
"- (43.6) (3,183.1) (3,226.7)"
"7.0 346.9 1,539.4 1,893.3"
