Non-
Attributable to equity holders of the company controlling Total
interest equity
Share Other Retained Proposed
capital reserves earnings dividends
Shs m Shs m Shs m Shs m Shs m Shs m
"356.5 84.8 3,316.0 570.4 (13.1) 4,314.6"
"- - 1,102.7 - 16.5 1,119.2"
- (2.4) 2.4 - - -
- 0.7 (0.7) - - -
- (1.7) 1.7 - - -
- (0.8) - - 0.1 (0.7)
- - 1.2 - - 1.2
- (0.8) 1.2 - 0.1 0.5
- (2.5) 2.9 - 0.1 0.5
"- (2.5) 1,105.6 - 16.6 1,119.7"
- - - - 65.3 65.3
- - - - (1.6) (1.6)
- - - (570.4) - (570.4)
- - (213.9) - - (213.9)
- - (570.4) 570.4 - -
- - (784.3) - 63.7 (720.6)
"356.5 82.3 3,637.3 570.4 67.2 4,713.7"
