5,Column,"12,346.8
(2,659.8)"
,"10,674.3
(355.2)
(1,115.0)
(5,950.2)","9,687.0
(359.0)
(1,097.8)
(5,169.5)"
"6
8(a)
8(b)
18","3,253.9
280.8
(15.3)
67.7","3,060.7
352.0
(30.0)
121.9"
9,"3,587.1
(1,053.9)","3,504.6
(994.3)"
18,"2,533.2
49.7
42.8","2,510.3
(26.4)
-"
12,"92.5
-","(26.4)
131.3"
,"2,625.7","2,615.2"
,"2,528.5
4.7","2,504.1
6.2"
,"2,533.2","2,510.3"
,"2,615.7
10.0","2,612.7
2.5"
,"2,625.7","2,615.2"
10,13.4,13.3
