Group,Column,Company
2019,"2018
Shs m
9,660.6
(1,808.0)",2019
Shs m,,Shs m
"9,050.9",,"6,922.3"
"(1,814.1)",,"(1,342.0)"
"7,236.8","7,852.6
(330.7)
(4,349.4)
(102.8)
(1,756.9)","5,580.3"
(318.2),,(225.6)
"(4,274.0)",,"(3,069.1)"
202.1,,198.8
"(1,735.5)",,"(1,376.1)"
"1,111.2","1,312.8
243.5
-
77.7","1,108.3"
197.6,,164.8
(84.4),,(70.3)
72.0,,-
"1,296.4","1,634.0
(516.5)","1,202.8"
(440.4),,(403.7)
856.0,"1,117.5
(31.8)
(29.0)",799.1
22.1,,-
(15.5),,-
6.6,(60.8),-
862.6,"1,056.7",799.1
,"1,112.2
5.3",
849.3,,-
6.7,,-
856.0,"1,117.5",-
,"1,052.9
3.8",
855.4,,-
7.2,,-
862.6,"1,056.7",-
4.5,"5.9
5.4",-
4.1,,-
