"2002
Shs m
4,103.4
(962.3)"
"3,141.1
(145.3)
(648.5)
(1,771.0)"
"576.3
41.6
17.3"
"635.2
(255.9)"
"379.3
24.5"
403.8
7.55
40.1
93.6
133.7
