Group,Column,Company
2024,"2023
Shs m
7,116.2
(2,434.9)",2024
Shs m,,Shs m
"6,229.6",,"4,006.1"
"(1,973.5)",,"(1,246.5)"
"4,256.1","4,681.3
(313.7)
(3,281.7)
(172.9)
(1,925.5)","2,759.6"
(377.9),,(297.7)
"(3,029.3)",,"(2,028.3)"
81.1,,97.2
"(1,388.7)",,(773.3)
(458.7),"(1,012.5)
311.2
(32.6)
302.1",(242.5)
270.6,,212.5
(29.7),,(25.2)
(35.8),,-
(253.6),"(431.8)
226.1",(55.2)
(0.8),,17.8
(254.4),"(205.7)
261.0
108.1",(37.4)
(132.5),,-
(78.5),,-
(211.0),369.1,-
(465.4),163.4,(37.4)
,"(201.7)
(4.0)",
(251.5),,-
(2.9),,-
(254.4),(205.7),-
,"144.6
18.8",
(446.0),,-
(19.4),,-
(465.4),163.4,-
(1.5),"(1.1)
(1.1)",-
(1.5),,-
