RESOLUTION,FOR,AGAINST,ABSTAIN
"ORDINARY BUSINESS
1. To receive the financial statements for the year ended 31 December 2020, and the
Chairman’s, Directors’ and Auditors’ reports thereon.",,,
"2. To confirm that PricewaterhouseCoopers LLP continue in office as the Company’s
Auditors in accordance with section 721(2) of the Kenyan Companies Act 2015 and
to authorise the directors to fix the remuneration of the Auditors.",,,
"3. To elect and re-elect Directors:
a. Mr. Dennis Aluanga retires by rotation in accordance with Article 101 of the
Company’s Articles of Association and being eligible, offers himself for
re-election.
b. Mr. Stephen Dunbar-Johnson retires by rotation in accordance with Article 101
of the Company’s Articles of Association and being eligible, offers himself for
re-election.
c. Mr. Louis Otieno retires by rotation in accordance with Article 101 of the
Company’s Articles of Association and being eligible, offers himself for
re-election.",,,
"d. In accordance with the provisions of section 769 of the Companies Act 2015,
the following Directors, being members of the Board Audit and Risk Committee
be elected individually to continue serving as members of the Committee:
i. Mr Leonard Mususa
ii. Mr Anwar Poonawala
iii.Mr Al-Noor Ramji",,,
"4. To receive, consider and if thought fit approve the Directors’ Remuneration Report
and the remuneration paid to the Directors for the year ended 31 December 2020 and
to authorise the directors to fix the remuneration of the Non-Executive Directors.",,,
