"2016
Shs m
11,324.8
(2,000.0)","2015
Shs m
12,339.5
(2,451.5)"
"9,324.8
(341.3)
(1,143.4)
(5,808.2)","9,888.0
(352.3)
(1,052.1)
(6,101.3)"
"2,031.9
308.3
(2.1)
121.9","2,382.3
324.6
(8.3)
124.6"
"2,460.0
(771.1)","2,823.2
(600.5)"
"1,688.9
(30.8)
(23.4)","2,222.7
(118.8)
(32.8)"
(54.2),(151.6)
"1,634.7","2,071.1"
"1,685.6
3.3","2,222.5
0.2"
"1,688.9","2,222.7"
"1,636.1
(1.4)","2,076.6
(5.5)"
"1,634.7","2,071.1"
8.9,11.8
