Group,Column,Company
2023,"2022
Shs m
461.1
(432.7)
(38.9)
-",2023
Shs m,,Shs m
(203.3),,(301.5)
(106.5),,(60.4)
(32.6),,(31.0)
(3.7),,(3.7)
(346.1),(10.5),(396.6)
,"291.6
(135.8)
(17.8)
21.5
53.6
-
(9.7)
(15.0)",
311.2,,248.9
(192.8),,(125.7)
(19.7),,(2.7)
27.3,,22.8
121.1,,121.1
-,,1.5
11.6,,11.6
482.9,,444.5
741.6,188.4,722.0
,"-
(285.4)
(0.5)
(127.0)",
(287.3),,(287.3)
(285.4),,(285.4)
(0.3),,-
(148.5),,(83.3)
(721.5),(412.9),(656.0)
(326.0),(235.0),(330.6)
"1,893.9","2,111.9
(235.0)
17.0","1,682.4"
(326.0),,(330.6)
155.3,,-
"1,723.2","1,893.9","1,351.8"
