Group,Column,Company
2021,"2020
Shs m
518.5
(57.7)
7,402.7
-
-",2021
Shs m,,Shs m
518.5,,518.5
24.2,,94.3
"7,613.7",,"5,645.9"
285.4,,285.4
(427.5),,(427.5)
"8,014.3","7,863.5
69.5","6,116.6"
75.9,,-
"8,090.2","7,933.0","6,116.6"
,"29.1
448.4
-",
30.2,,-
371.7,,329.9
55.6,,55.6
457.5,477.5,385.5
"8,547.7","8,410.5","6,502.1"
,"599.0
1,372.2
644.6
292.9
1,485.4
-
366.9
27.5
74.7",
585.4,,389.8
"1,106.9",,836.4
518.8,,416.8
239.9,,213.8
"1,540.5",,94.6
-,,702.8
481.1,,371.5
-,,-
53.9,,53.9
"4,526.5","4,863.2","3,079.6"
,"521.4
3,504.5
1,344.2
1,530.0
57.3",
619.5,,490.5
"3,548.8",,"2,679.1"
"2,111.9",,"1,633.5"
"1,846.7",,"1,696.2"
-,,-
"8,126.9","6,957.4","6,499.3"
,"2,720.6
558.3
131.2
-",
"3,356.3",,"2,381.8"
578.9,,548.7
96.7,,55.1
73.8,,91.2
"4,105.7","3,410.1","3,076.8"
"4,021.2","3,547.3","3,422.5"
"8,547.7","8,410.5","6,502.1"
