Current,30 Days,60 Days,90 days,120+ days,Total
Shs m,Shs m,Shs m,Shs m,Shs m,Shs m
246.7,208.5,172.4,97.6,"2,622.4","3,347.6"
(24.7),(23.8),(16.2),(14.0),"(1,486.4)","(1,565.1)"
222.0,184.7,156.2,83.6,"1,136.0","1,782.5"
