Group,Column,Company
2024,"2023
Shs m
518.5
512.5
7,444.8
(714.8)",2024
Shs m,,Shs m
518.5,,518.5
311.3,,169.5
"7,199.0",,"5,194.7"
(808.2),,(808.2)
"7,220.6","7,761.0
100.6","5,074.5"
81.2,,-
"7,301.8","7,861.6","5,074.5"
,"41.4
306.9
5.5",
9.8,,-
167.0,,118.2
29.1,,29.1
205.9,353.8,147.3
"7,507.7","8,215.4","5,221.8"
,"716.5
507.3
430.1
131.7
1,845.2
-
818.7
248.2",
652.2,,448.2
376.7,,213.1
316.0,,215.9
92.0,,50.3
"1,651.9",,94.6
-,,702.8
866.2,,752.5
246.8,,246.8
"4,201.8","4,697.7","2,724.2"
,"605.6
3,442.5
1,723.2
1,182.6
151.9",
712.3,,577.5
"3,226.2",,"2,375.3"
"1,342.0",,"1,105.8"
"1,033.2",,646.0
185.0,,136.7
"6,498.7","7,105.8","4,841.3"
,"3,019.0
484.2
84.9",
"2,673.6",,"1,871.4"
402.0,,378.7
117.2,,93.6
"3,192.8","3,588.1","2,343.7"
"3,305.9","3,517.7","2,497.6"
"7,507.7","8,215.4","5,221.8"
