"Motor
vehicle
Shs m"
"459.5
(371.3)"
88.2
"88.2
105.7
(3.0)
(62.1)
(0.2)"
128.6
"128.6
23.5
(4.9)
(58.0)
(0.8)"
88.4
"519.8
(431.4)"
88.4
