471.4,131.1,"5,242.7","1,414.1","7,259.3"
-,-,"2,124.6",-,"2,124.6"
-,(4.6),4.6,-,-
-,1.4,(1.4),-,-
-,(3.2),3.2,-,-
-,(3.2),"2,127.8",-,"2,124.6"
-,-,-,"(1,414.1)","(1,414.1)"
,-,(471.4),-,(471.4)
-,-,"(1,414.1)","1,414.1",-
-,-,"(1,885.5)",-,"(1,885.5)"
471.4,127.9,"5,485.0","1,414.1","7,498.4"
471.4,127.9,"5,485.0","1,414.1","7,498.4"
-,-,"2,218.3",-,"2,218.3"
-,(4.6),4.6,-,-
-,1.4,(1.4),-,-
-,(3.2),3.2,-,-
-,(3.2),"2,221.5",-,"2,218.3"
-,-,-,"(1,414.1)","(1,414.1)"
-,-,(471.4),-,(471.4)
-,-,"(1,414.1)","1,414.1",-
-,-,"(1,885.5)",-,"(1,885.5)"
471.4,124.7,"5,821.0","1,414.1","7,831.2"
