471.4,63.3,"6,765.4","1,414.1","8,714.2",53.9,"8,768.1"
-,-,"2,222.5",-,"2,222.5",0.2,"2,222.7"
-,(9.4),9.4,-,-,-,-
-,2.8,(2.8),-,-,-,-
-,(6.6),6.6,-,-,-,-
-,(113.1),-,-,(113.1),(5.7),(118.8)
-,-,(32.8),-,(32.8),-,(32.8)
-,(119.7),(26.2),-,(145.9),(5.7),(151.6)
-,(119.7),"2,196.3",-,"2,076.6",(5.5),"2,071.1"
-,-,-,"(1,414.1)","(1,414.1)",-,"(1,414.1)"
-,-,(471.4),-,(471.4),-,(471.4)
-,-,"(1,414.1)","1,414.1",-,-,-
-,-,"(1,885.5)",-,"(1,885.5)",-,"(1,885.5)"
471.4,(56.4),"7,076.2","1,414.1","8,905.3",48.4,"8,953.7"
