Title,Key requirements,Effective Date
"Amendments to IAS
1, ‘Presentation of
Financial Statements’ -
Non-current liabilities
with covenants","These amendments clarify how conditions with which an entity must comply
within twelve months after the reporting period affect the classification of a
liability. The amendments also aim to improve information an entity provides
related to liabilities subject to these conditions","Annual periods
beginning on or
after 1 January
2024"
"Amendment to IFRS
16, ‘Leases’ - sale and
leaseback","These amendments include requirements for sale and leaseback transactions
in IFRS 16 to explain how an entity accounts for a sale and leaseback after the
date of the transaction. Sale and leaseback transactions where some or all the
lease payments are variable lease payments that do not depend on an index or
rate are most likely to be impacted.","Annual periods
beginning on or
after 1 January
2024"
"Amendments to
Supplier Finance
Arrangements (IAS 7
‘Statement of Cash
Flows’ and IFRS 7
‘Financial Instruments:
Disclosure’)","These amendments require disclosures to enhance the transparency of
supplier finance arrangements and their effects on a company’s liabilities,
cash flows and exposure to liquidity risk. The disclosure requirements are the
IASB’s response to investors’ concerns that some companies’ supplier finance
arrangements are not sufficiently visible, hindering investors’ analysis.","Annual periods
beginning on or
after 1 January
2024"
