Secretary,Column,Katibu
Registered Office,"Nation Centre
Kimathi Street
P O Box 49010 00100
Nairobi",Afisi ilikoandikishwa
Advocates,"Kaplan & Stratton
George Williamson House
4th Ngong Avenue
Nairobi",Wakili
Auditors,"PricewaterhouseCoopers
The Rahimtulla Tower
Upper Hill Road
Nairobi",Wakaguzi wa Hesabu
Bankers,"Standard Chartered Bank of Kenya Ltd
Stanbank House
Moi Avenue
Nairobi",Benki
