Column,Jun-10,Jun-11,%
,Kshs M,Kshs M,Change
Turnover,"4,468.7","5,148.0",15.2
Profit before income tax,891.6,"1,115.4",25.1
Income tax expense,(294.1),(368.4),(25.2)
Profit after tax,597.5,747.0,25.0
Other comprehensive income,(39.8),(15.4),61.2
Non-controlling Interest,0.4,(1.0),
Profit attrib. to shareholders,558.1,730.6,30.9
