Share Other Retained Proposed
capital reserves earnings dividends Total
Shs m Shs m Shs m Shs m Shs m
"356.5 75.1 3,415.6 570.4 4,417.6"
"- - 1,000.4 - 1,000.4"
- (2.4) 2.4 - -
- 0.7 (0.7) - -
- (1.7) 1.7 - -
"- (1.7) 1,002.1 - 1,000.4"
- - - (570.4) (570.4)
- - (213.9) - (213.9)
- - (570.4) 570.4 -
- - (784.3) - (784.3)
"356.5 73.4 3,633.4 570.4 4,633.7"
"356.5 73.4 3,633.4 570.4 4,633.7"
"- - 1,448.6 - 1,448.6"
- (2.3) 2.3 - -
- 0.7 (0.7) - -
- (1.6) 1.6 - -
"- (1.6) 1,450.2 - 1,448.6"
35.7 - (35.7) - -
0.6 - (0.6) - -
36.3 - (36.3) - -
- - - (570.4) (570.4)
- - (235.7) - (235.7)
- - (628.5) 628.5 -
- - (392.8) 392.8 -
"36.3 - (1,293.3) 450.9 (806.1)"
"392.8 71.8 3,790.3 1,021.3 5,276.2"
