Principal risks,Mitigating strategies
,"• Improved consumer service training for staff.
• Create awareness among staff on NMG’s key reputational risks.
• A “Ready for Regulation” strategy to ensure compliance with regulatory
issues.
• Develop an escalation matrix within the Group for escalating
reputational issues.
• Improve the editorial gatekeeping function and compliance with
editorial policy.
• Develop a communication protocol for the Group including a social
media policy.
• Continuous scanning of the social media and responding appropriately.
• Robust stakeholder management."
,"• Exploring new revenue streams.
• Fully entrenching the digital/mobile first digital model and embedding
the digital culture in the organization.
• Focus on developing or acquiring unique, relevant content."
,"• Establishing and implementing robust internal controls within the
company to prevent such occurrences.
• Putting in place disciplinary measures for offenders.
• Enforcing strict adherence of the editorial policy.
• Proactive training of staff on new media laws and regulations to comply
without compromising product quality.
• Robust management of legal cases."
,"• Strict credit control and vetting credit clients/transactions.
• Review debt collection continuously.
• Engage debt collectors where applicable.
• More judicious approval of credit to clients.
• Requirement for providing bank or insurance guarantees."
,"• Continuous engagement with a wide set of stakeholders in the industry.
• Strict enforcement of Editorial Policy and Guidelines as a tool to ensure
quality journalism.
• Performing regular regulatory development assessment.
• Regular training on changing regulatory requirements.
• Ensuring compliance with all relevant laws, regulations and standards."
