Group,Column,Company
2022,"2021
Shs m
7,613.7
(1,212.0)",2022
Shs m,,Shs m
"7,298.3",,"5,070.9"
"(1,424.6)",,(938.8)
"5,873.7","6,401.7
(269.4)
(4,024.7)
(33.5)
(1,579.4)","4,132.1"
(265.8),,(198.0)
"(3,808.9)",,"(2,614.0)"
(24.3),,(11.0)
"(1,592.7)",,"(1,124.2)"
182.0,"494.7
241.7
(44.6)
38.9",184.9
291.6,,248.3
(38.9),,(36.9)
57.0,,-
491.7,"730.7
(237.6)",396.3
(173.2),,(98.9)
318.5,"493.1
67.7
23.9",297.4
46.2,,-
12.2,,-
93.7,,81.6
152.1,91.6,81.6
470.6,584.7,379.0
,"491.8
1.3",
315.2,,-
3.3,,-
318.5,493.1,-
,"578.3
6.4",
463.9,,-
6.7,,-
470.6,584.7,-
1.7,"2.5
2.5",-
1.7,,-
