Column,"2008
Shs m
109.8",Column
"(b) Finance cost
Interest expense",(27.0),(48.1)
"9. Income tax expense
Current income tax
Deferred income tax (credit)/charge (Note 14)","2008
Shs m
625.6
(11.2)","2007
Shs m
513.4
11.8"
,614.4,525.2
"The tax on the Group’s profit before income tax differs from the theoretical amount that would arise using the tax rate of the home country as
ollows:
2008 2007
Shs m Shs m
Profit before income tax 1,910.3 1,601.6
Tax calculated at the statutory income tax rates of 30% (2007: 30%) 573.1 480.5
Tax effect of:
Income not subject to tax (3.7) (1.6)
Expenses not deductible for tax purposes 12.5 48.8
Under/(over) provision of current income tax in prior year 2.2 (2.5)
Over provision of deferred income tax in prior year (4.6) -
Deferred income tax asset not recognized 34.9 -",,
,"2008
Shs m
1,910.3
573.1
(3.7)
12.5
2.2
(4.6)
34.9",
ncome tax expense,614.4,525.2
