Group,Column,Company
2019,"2018
Shs m
1,142.2
(566.6)",2019
Shs m,,Shs m
"1,967.8",,"1,881.8"
(519.4),,(471.2)
"1,448.4",575.6,"1,410.6"
,"243.5
(129.6)
(147.3)
24.6
5.5
-
(13.2)
325.7",
197.6,,164.8
(161.6),,(93.2)
(21.9),,(20.4)
6.0,,4.6
7.7,,7.7
-,,18.7
63.1,,63.1
(231.8),,(230.4)
(140.9),309.2,(85.1)
,"(0.5)
(1,696.9)
-",
-,,-
(942.7),,(942.7)
(213.2),,(157.0)
"(1,155.9)","(1,697.4)","(1,099.7)"
151.6,(812.6),225.8
867.1,"1,692.6
(812.6)
(12.9)",591.5
151.6,,225.8
20.3,,-
"1,039.0",867.1,817.3
