Column,"2009
Kshs M","2010
Kshs M"
Capital and Reserves,,
Share capital,357,393
Retained earnings,"3,637","3,916"
Proposed dividends,570,"1,021"
Minority interest,67,62
Total equity,"4,714","5,422"
"Total Equity & Non-current
liabilities","4,803","5,422"
Assets,,
Non-current assets,"2,807","2,898"
Working capital,,
Current assets,"3,766","5,077"
Current liabilities,"1,769","2,553"
Net working capital,"1,996","2,524"
Total Assets,"4,803","5,422"
