Group,Column,Company
2019,"2018
Shs m
914.6
230.0
154.9",2019
Shs m,,Shs m
553.5,,429.6
226.1,,201.3
60.4,,59.1
840.0,"1,299.5
(183.3)",690.0
(183.3),,(181.1)
656.7,"1,116.2",508.9
