Condensed Group statement of changes in equity,Column,Column,Column,Column,Column,Column
,Attributable to equity holders of the company,,,,,
,Share,Treasury,Other,Retained,Minority,Total
,capital,"shares
reserve",reserves,earnings,interest,equity
,Kshs m,Kshs m,Kshs m,Kshs m,Kshs m,Kshs m
Year ended 31 December 2025,,,,,,
At start of year,518.5,(808.2),311.3,"7,199.0",81.2,"7,301.8"
Total comprehensive income:,,,,,,
(Loss) for the period,-,-,-,(308.9),0.3,(308.6)
"Other comprehensive income, net of tax",,,,,,
Currency translation differences,-,-,24.1,-,1.2,25.3
Transfer of excess depreciation,-,-,(9.6),9.6,-,-
Deferred income tax on transfer,-,-,2.9,(2.9),-,-
Share of comprehensive income in associate,-,-,23.6,-,-,23.6
Total other comprehensive income,-,-,41.0,6.7,1.2,48.9
Total comprehensive (loss) for the period,-,-,41.0,(302.2),1.5,(259.7)
At end of period,518.5,(808.2),352.3,"6,896.8",82.7,"7,042.1"
