TRAINING,"NUMBER OF
TRAINEES",OUTCOME
"Foundational Skills for Data
Journalism
Editorial teams across platforms",30,"This program exposed journalists to the critical skills needed to practice
data journalism. Key areas covered range from basic Excel and analysis to
data visualization and the principles of storytelling with data."
"Devolution
Editorial teams across platforms",10,"The training sought to re-tool journalists to be more adept at accessing
information from public documents, conducting deeper interviews, writing
with precision, and working towards specialization."
"BBC Leadership Training
Leads across all platforms",15,"The goal of this training was to help leaders explore and decide on the
steps they want to take to perform their role in the best way possible, as
they facilitate transformation."
"Innovation & Intrapreneurship
Editorial Commercial, Product, and
Technology teams across platforms",26,"The course sought to leverage the daily experiences of both the editorial
and commercial team members in the newsroom as well as technology,
and cutting-edge research to provide training, develop and cultivate the
innovation mindset and explore frameworks for innovation."
"Agile and Versatile Selling: How
to Quickly Adapt to Customer
Needs and Stay Competitive in a
Digital World.
Commercial teams across
platforms",120,"The main focus of the training was to equip the sales team with skills on
understanding the importance of agility and versatility in modern sales."
"Communicate to Convert:
Mastering the Art of closing
Sales fast.
Commercial teams across
platforms",120,"The training focused on recognizing the value of good communication in
the sales process."
"Nation Sema Product Training on
Bulk SMS
Commercial teams across
platforms",120,"This equipped the teams with the Nation Sema Product knowledge to
promote new digital revenue conversion."
"Data Protection
Customer care team",5,"The training sought to equip the team with knowledge on how to handle
customer data in compliance with the data protection Act"
Sexual Harassment,35,"The aim was to create awareness on how to manage and eradicate sexual
harassment."
