Computer Transmission
Goodwill software Frequencies Total
Shs m Shs m Shs m Shs m
187.9 246.4 - 434.3
- (114.6) - (114.6)
187.9 131.8 - 319.7
187.9 131.8 - 319.7
- 41.2 27.2 68.4
- (40.7) - (40.7)
187.9 132.3 27.2 347.4
187.9 287.6 27.2 502.7
- (155.3) - (155.3)
187.9 132.3 27.2 347.4
187.9 132.2 27.2 347.4
- 15.2 - 15.2
- (42.5) - (42.5)
- (0.6) - (0.6)
187.9 104.3 27.2 319.4
187.9 301.5 27.2 516.6
- (197.2) - (197.2)
187.9 104.3 27.2 319.4
