"2,760.9
(10.9)","2,326.9
4.7","2,751.2
-"
"2,750.0
33.4","2,331.6
60.3","2,751.2
45.9"
"2,783.4","2,391.9","2,797.1"
"1,371.9
58.4
-
229.5
-","1,211.0
56.4
24.0
224.9
-","1,239.9
53.8
-
105.9
52.8"
"1,659.8","1,516.3","1,452.4"
"274.8
615.0
1,315.7
52.4","266.1
761.5
1,069.5
-","260.2
615.7
1,310.6
52.6"
"2,257.9","2,097.1","2,239.1"
"1,134.3
-
-","1,076.4
4.3
140.8","894.4
-
-"
"1,134.3","1,221.5",894.4
"1,123.6",875.6,"1,344.7"
