Group,Column,Company
2020,"2019
Shs m
9,050.9
(1,814.1)",2020
Shs m,,Shs m
"6,812.8",,"5,016.1"
"(1,148.0)",,(825.9)
"5,664.8","7,236.8
(318.2)
(4,274.0)
202.1
(1,735.5)","4,190.2"
(279.0),,(203.0)
"(3,824.6)",,"(2,740.7)"
(124.3),,(124.2)
"(1,530.3)",,"(1,180.3)"
(93.4),"1,111.2
197.6
(84.4)
72.0",(58.0)
203.2,,170.6
(42.0),,(36.4)
52.1,,-
119.9,"1,296.4
(440.4)",76.2
(72.0),,(39.5)
47.9,"856.0
22.1
(15.5)",36.7
69.2,,-
18.4,,-
87.6,6.6,-
135.5,862.6,36.7
,"849.3
6.7",
48.1,,-
(0.2),,-
47.9,856.0,-
,"855.4
7.2",
129.9,,-
5.6,,-
135.5,862.6,-
0.2,"4.5
4.1",-
0.2,,-
