Group,Column,Company
2022,"2021
Shs m
1,711.1
(219.6)
(44.6)",2022
Shs m,,Shs m
461.1,,235.0
(432.7),,(377.3)
(38.9),,(36.9)
(10.5),"1,446.9",(179.2)
,"241.7
(95.9)
(27.6)
8.6
7.7
-
20.8
(316.7)",
291.6,,248.3
(135.8),,(77.4)
(17.8),,(16.0)
21.5,,18.5
53.6,,53.6
-,,82.4
(9.7),,(9.7)
(15.0),,286.2
188.4,(161.4),585.9
,"(427.5)
-
-
(128.5)",
-,,-
(285.4),,(285.4)
(0.5),,-
(127.0),,(72.4)
(412.9),(556.0),(357.8)
(235.0),729.5,48.9
"2,111.9","1,344.2
729.5
38.2","1,633.5"
(235.0),,48.9
17.0,,-
"1,893.9","2,111.9","1,682.4"
