Column,Column,Column,Column,Column,Column,Near miss
,Numbers,Man Hours,LTI,LTIFR,Fatality,
Nation Centre,559,"1,632,280",0,0.00,0,2
Plant,92,"268,640",0,0.00,1,4
Bureaus,168,"490,560",0,0.00,0,0
Contractors (Third parties),281,"820,520",2,2.44,0,0
,"1,100","3,212,000",2,0.62,0,6
