RESOLUTION,FOR,AGAINST,ABSTAIN
"ORDINARY BUSINESS
1. To receive the financial statements for the year ended 31 December 2024,
and the Chairman’s, Directors’ and Auditors’ reports thereon.",,,
"2. To note that the Directors do not recommend a dividend for the year ended
31 December 2024.",,,
"3. To receive, consider and if thought fit approve the Directors’ Remuneration
Report and the remuneration paid to the Directors for the year ended 31
December 2024 and to authorise the Board to fix the remuneration of the
Non-Executive Directors.",,,
