Risk,Description,Mitigation Actions
Third party risk,"NMG relies on third parties to support
core business functions through the
provision of services and supply of products.
Dependence on these third parties/critical
suppliers inherently presents a number
of risks for NMG, including strategic,
reputational, data and cybersecurity
risk, regulatory, operational, financial,
transactional, security, compliance, and
other risks.","NMG ensures that a thorough due diligence process is
performed for key third parties during the onboarding
process
We also continuously monitor and evaluate the activities
of third-party vendors to ensure compliance with
agreed-upon standards as per contract agreements and
applicable laws and regulations."
"Business continuity
and crisis
management","Various risk events such as natural
disasters, fire, political unrest, sabotage
pandemics, equipment failure and others
have the potential to disrupt business
operations and also portend health and
safety risks.","We have in place Business Continuity and IT Disaster
recovery plans that include crisis management plans.
Various risk mitigating measures are also in place as
pertains staff health and safety, fire prevention and
detection, equipment maintenance and servicing and
security measures."
Human Capital risk,"The digital disruption and the NMG
transformation strategy that has been
deployed to counter and leverage this
has also resulted in a significant change
in talent requirements and talent profile.
New digital skills that traditionally were
not required have become a necessity; this
results in talent acquisition and retention
risks","Management is evaluating and enhancing the employee
value proposition in line with the changing workforce
as part of developing talent acquisition and retention
strategies
Various initiatives to recruit for new skills and develop and
upskill talent have been deployed."
