Current,30 Days,60 Days,90 days,120+ days,Total
Shs m,Shs m,Shs m,Shs m,Shs m,Shs m
393.2,282.0,150.5,87.8,"2,341.4","3,254.9"
(29.3),(33.2),(18.2),(14.0),"(1,471.2)","(1,565.9)"
363.9,248.8,132.3,73.8,870.2,"1,689.0"
