Group,Column,Company
2022,"2021
Shs m
518.5
24.2
7,613.7
285.4
(427.5)",2022
Shs m,,Shs m
518.5,,518.5
172.9,,175.9
"7,643.5",,"5,657.9"
285.4,,285.4
(427.5),,(427.5)
"8,192.8","8,014.3
75.9","6,210.2"
82.1,,-
"8,274.9","8,090.2","6,210.2"
,"30.2
371.7
55.6",
35.4,,-
313.4,,309.2
-,,-
348.8,457.5,309.2
"8,623.7","8,547.7","6,519.4"
,"585.4
1,106.9
518.8
239.9
1,540.5
-
481.1
-
53.9",
704.6,,488.3
906.6,,659.7
444.9,,378.3
180.0,,153.8
"1,556.1",,94.6
-,,702.8
484.8,,390.5
4.9,,4.9
63.6,,63.6
"4,345.5","4,526.5","2,936.5"
,"619.5
3,548.8
2,111.9
1,846.7
-",
776.8,,540.3
"3,624.2",,"2,790.5"
"1,893.9",,"1,682.4"
"1,861.7",,"1,410.0"
147.2,,133.4
"8,303.8","8,126.9","6,556.6"
,"3,356.3
578.9
96.7
73.8",
"3,386.9",,"2,418.2"
545.2,,501.4
93.5,,54.1
-,,-
"4,025.6","4,105.7","2,973.7"
"4,278.2","4,021.2","3,582.9"
"8,623.7","8,547.7","6,519.4"
