Group,Column,Company
2022,"2021
Shs m
507.6
233.3
67.8",2022
Shs m,,Shs m
642.9,,434.5
237.8,,206.3
86.8,,86.3
967.5,"808.7
(189.2)",727.1
(190.7),,(186.8)
776.8,619.5,540.3
