June 2010 June 2009 % Change
"4,469 3,809 17.3%
Turnover"
"891.6 588.2 51.6%
Profit Before Tax"
"(294) (194) (51.5)%
Tax Expense"
"Profit Attributable to
558.1 364.5 53.1%
Shareholders"
"3.6 2.6 40%
Earnings per Share"
