UAMUZI,KUUNGA MKONO,KUPINGA,KUTOSHIRIKI
"SHUGHULI YA KAWAIDA
1. Kupokea taarifa za kifedha za mwaka uliokamilika tarehe 31 Disemba 2020, na ripoti za
Mwenyekiti, Wakurugenzi Watendaji na Wakaguzi.",,,
"2. Kuthibitisha kwamba kampuni ya PricewaterhouseCoopers LLP itaendelea kuhudumu
kama Mkaguzi wa Kampuni kwa mujibu wa kifungu cha 721(2) cha Sheria ya Kampuni ya
Kenya 2015 na kuidhinisha wakurugenzi kusuluhisha mshahara wa Wakaguzi.",,,
"3. Kuchagua na kuchagua tena Wakurugenzi:
a. Bw. Dennis Aluanga, anastaafu kwa mzunguko kwa mujibu wa Ibara ya 101 ya
Taarifa ya Ushirika ya Kampuni na kwa kuwa anastahiki, amejitosa ulingoni ili
kuchaguliwa tena.
b. Bw. Stephen Dunbar-Johnson, anastaafu kwa mzunguko kwa mujibu wa Ibara ya
101 ya Taarifa ya Ushirika ya Kampuni na kwa kuwa anastahiki, amejitosa ulingoni ili
kuchaguliwa tena.
c. Bw. Louis Otieno, anastaafu kwa mzunguko kwa mujibu wa Ibara ya 101 ya Taarifa
ya Ushirika ya Kampuni na kwa kuwa anastahiki, amejitosa ulingoni ili kuchaguliwa
tena.",,,
"d. Kwa mujibu wa kanuni za sehemu ya 769 za Sheria ya Kampuni ya 2015,
Wakurugenzi Watendaji wafuatao, kwa kuwa wanachama wa Kamati ya Bodi ya
Ukaguzi na Hatari wachaguliwe kila mmoja kibinafsi ili waendelee kuhudumu kama
wanachama wa Kamati hiyo:
i. Bw. Leonard Mususa
ii. Bw. Anwar Poonawala",,,
iii.Bw. Al-Noor Ramji,,,
