1.1.09 Charged/ 31.12.09
(Credited)
to SCI
Shs m Shs m Shs m
155.4 (13.4) 142.0
- 7.2 7.2
155.4 (6.2) 149.2
(103.9) 0.9 (103.0)
- (12.7) (12.7)
(103.9) (11.8) (115.7)
51.5 (18.0) 33.5
1.1.10 Charged/ 31.12.10
(Credited)
to SCI
Shs m Shs m Shs m
120.7 (25.8) 94.9
6.8 77.2 84.0
127.5 51.4 178.9
(53.3) (63.3) (116.6)
(12.5) (65.5) (78.0)
(65.8) (128.8) (194.6)
61.7 (77.4) (15.7)
1.1.09 Charged/ 31.12.09
(Credited)
to SCI
Shs m Shs m Shs m
143.6 (22.9) 120.7
- 6.8 6.8
143.6 (16.1) 127.5
(67.6) 14.3 (53.3)
- (12.5) (12.5)
(67.6) 1.8 (65.8)
76.0 (14.3) 61.7
