2017,"2016
Shs m
9,645.2
(6,852.9)",2017,"2016
Shs m
1,679.6
(1,925.3)",2017
Shs m,,Shs m,,Shs m
"8,914.4",,"1,710.5",,"10,624.9"
"(6,883.3)",,"(1,610.8)",,"(8,494.1)"
,"2,792.3",,(245.7),
"2,031.1",,99.7,,"2,130.8"
,,,,(589.0)
,,,,"1,541.8"
,,,,319.0
,,,,93.8
,,,,"1,954.6"
