Column,25.03.24,25.11.24,25.03.25
Ms. Muthoni Runji-Pertet (Committee Chairman),,,
Mr. Nicholas Kathiari,,,
Amb. Harry Mutuma Kathurima,,(a),
Mr. George Kapanadze,,(a),
