Column,7.06.24,26.07.24,20.09.24,28.11.24,19.12.24,26.03.25
Ms. Muthoni Runji-Pertet (Board Chair),,,,,,
Mr. Nicholas Kathiari (Audit Committee Chair),,,,(a),,
Dr. Joseph Kimemia,,,,,,
Amb. Harry Mutuma Kathurima,,(a),,,,
Mr. George Kapanadze,,,,,,
