Column,25.03.24,06.06.24,24.07.24,25.11.24,25.03.25
Ms. Muthoni Runji-Pertet,,,,,
Mr. Nicholas Kathiari (Committee Chairman),,,,,
Amb. Harry Mutuma Kathurima,,(a),,,
Mr. George Kapanadze,,,(a),(a),
