Range,Number of shareholders,Number of shares,% shareholding
"1 to 1,000 Shares",639,"181,900",1%
"1,001 to 10,000 Shares",172,"625,502",2%
"10,001 to 100,000 Shares",63,"1,992,028",6%
"100,001 to 1,000,000 Shares",11,"2,896,050",9%
"1,000,001 to 10,000,000 Shares",2,"6,606,500",21%
"Over 10,000,000 Shares",1,"19,855,020",62%
