New standards or amendments,"Effective for annual period
beginning on or after"
IFRS 17 Insurance Contracts,January 1 2023
Definition of Accounting Estimates - Amendments to IAS 8,January 1 2023
"Disclosure of Accounting Policies - Amendments to IAS 1 and
IFRS Practice Statement 2",January 1 2023
"Deferred Tax related to Assets and Liabilities arising from a
Single Transaction – Amendments to IAS 12",January 1 2023
"Classification of liabilities as current or non-current with
covenants (Amendments to IAS 1)",January 1 2024
"Lease Liability in a Sale and Leaseback –
Amendments to IFRS 16",January 1 2024
"International Tax Reform – Pillar Two Model Rules -
Amendments to IAS 12",Immediately upon issuance
"Sale or Contribution of Assets between an Investor and its
Associate or Company (Amendments to IFRS 10 and IAS 28)",To be determined
"Disclosures: Supplier Finance Arrangements – Amendments to
IAS 7 and IFRS 7",January 1 2024
