"30 Sept. 2016
Kshs'000'","30 Sept. 2015
Kshs'000'","31 Mar. 2016
Kshs'000'"
"40,196
478,004
166,060","40,196
442,996
60,537","4 0,196
4 78,004
1 73,736"
"684,260","543,729","6 91,936"
"46,132
1,183","37,159
49,823","4 8,912
2 0,317"
"731,575","630,711","7 61,165"
"6 37,361
9 4,214","478,932
1 51,779","6 44,781
1 16,384"
"731,575","630,711","7 61,165"
