Key audit matter,"How the matter was addressed in the
audit"
Valuation of biological assets and bearer plants,
"As at 31 March 2021, the carrying amounts of biological assets
and bearer plants were KShs 91 million and KShs 100 million,
respectively.
As described further in note 14, the measurement of biological
assets is complex as it involves a high degree of subjectivity due to
the assumptions and judgements used in determining the yields
and market prices of coffee berries in future using the discounted
cash flows method.
Bearer plants have been classified as property, plant and equipment
in accordance with International Accounting Standard (IAS) 16
Property, Plant and Equipment.
As further disclosed in note 2(h) and 3 to the financial statements,
the measurement of bearer plants involves significant judgment in
estimating when the bearer plants will mature in order to determine
their useful lives and capitalise the costs for purposes of depreciating
them.
Due to the judgement involved as described above, we considered
this to be a key audit matter.","Our audit procedures included
understanding management’s processes
for measuring bearer plants and biological
assets and evaluating compliance with IAS
16 Property, Plant and Equipment and IAS 41
Agriculture.
We assessed whether the assumptions
and the methodology applied in the
determination of the fair value of biological
assets were reasonable and adequately
supported.
We evaluated the method used to determine
maturity level and the depreciation
methodology used to depreciate the
capitalised costs of the bearer plants.
We also assessed the adequacy of the
company’s disclosures in respect of bearer
plants and biological assets."
Valuation of land and buildings and plant and machinery,
"Land and buildings, and plant and machinery comprise 81% of
the total assets of the company as at 31 March 2021. The assets are
measured at fair value, which involves the use of assumptions and
estimates.
The revaluation of land carried out on 31 December 2020 resulted
in a revaluation gain of KShs 163 million.
Buildings, plant and machinery were also revalued during the
year resulting in revaluation gain of KShs 17 million.
The fair value of land was determined by using comparable sales
method of valuation whereby the attributes of the property are
compared to those of other similar properties in the market.
The valuation of buildings, plant and machinery was based on
market comparable basis or depreciation replacement method
where information for market comparable method was not available.
These methodologies are further explained in notes 2(h), 3 and 13 to
the financial statements,
Due to the significant assumptions made and the estimation involved,
we considered this to be a key audit matter. We also considered the
disclosures in the financial statements to be significant to the users’
understanding of the valuation of land and buildings and plant and
machinery.","We evaluated the objectivity, independence
and expertise of the external appraisal firms
engaged to perform the valuation.
We evaluated the appropriateness of the
information and assumptions used in the
valuations. We also assessed whether the
valuation methodologies and assumptions
adopted in determining the carrying
amount of the land and buildings, and plant
and machinery were in accordance with
International Financial Reporting Standards.
We evaluated whether the determined fair
values were in line with the market values for
similar assets in similar locations.
We assessed the adequacy of the company’s
disclosures in respect of the assumptions
used in the valuations as set out in note 13 to
the financial statements."
