DIRECTOR,DESIGNATION
Ms. Muthoni Runji-Pertet,"Independent, Non-Executive Director"
Dr. Joseph Kimemia,Executive Director
Mr. Nicholas Kathiari,"Independent, Non-Executive Director"
Amb. Harry Mutuma Kathurima,"Independent, Non-Executive Director"
Mr. George Kapanadze,Non-Executive Director
