Column,13.04.23,27.07.23,28.07.23,28.11.23,25.03.24
Mr. Nicholas Kathiari (Committee chairperson),,,(a),,
Amb. Harry Mutuma Kathurima,(a),,,(a),
Ms. Muthoni Runji-Pertet,,,,,
Mr. George Kapanadze,,,,,
