STATEMENT OF CASH FLOWS,31 March 2021,31 March 2020
,Kshs'000,Kshs'000
Net cash generated from/(used in) operating activities,"36,597","(56,873)"
Net cash (used in)/generated from financing activities,"(37,622)","30,621"
Net decrease in cash and cash equivalents,"(1,025)","(26,252)"
Cash and cash equivalents at the beginning of the year,"3,849","29,845"
Effect of exchange rate changes on cash and cash equivalents,"(1,568)",256
Cash and cash equivalents at the end of the year,"1,256","3,849"
