Name,Designation,"Date of
Appointment"
Ms. Muthoni Runji-Pertet,"Chairman, Independent Non-Executive Director",05/09/2023
Dr. Joseph Kimemia,Executive Director,19/11/2021
Mr. George Kapanadze,Non- Executive Director,20/05//2021
Mr. Nicholas Kathiari,"Independent, Non - Executive Director",05/09/2023
Amb. Harry Mutuma Kathurima,"Independent, Non - Executive Director",05/09/2023
