Column,31.05.23,28.07.23,21.09.23,28.11.23,27.03.24
Dr. Joseph Kimemia,(a),,,,
Mr. Nicholas Kathiari (Committee chairperson),,(a),,,
Amb. Harry Mutuma Kathurima,(a),,,,
Ms. Muthoni Runji-Pertet,,,,,
Mr. George Kapanadze,,,,,
