Statement of Cash Flows,30 Sep. 2021,30 Sep. 2020
,Kshs'000,Kshs'000
Net cash (used in) /generated from operating activities,"(3,257)","13,973"
Net cash used in investing activities,-,-
Net cash generated from /(used in) financing activities,"4,191","(15,176)"
Net increase / (decrease) in cash and cash equivalents,934,"(1,204)"
Cash and cash equivalents at the beginning of the year,"1,258","3,849"
C ash and cash equivalents at 30 September 2021,"2,192","2,645"
