Year of origin,Entity,Column,Total(KShs)
,"Sasini Avocado
Limited (KShs)","Mweiga Estates
Limited (KShs)",
"2019
2020
2021
2022
2023
2024
2025","-
-
-
-
-
35,894,647
-","154,039,148
23,576,732
52,628,212
13,419,354
33,708,267
123,222,695
13,344,677","154,039,148
23,576,732
52,628,212
13,419,354
33,708,267
159,117,342
13,344,677"
Total,"35,894,647","413,939,085","449,833,732"
