New standard or amendments,"Effective for annual
periods beginning
on or after"
" Onerous contracts: Cost of Fulfilling a Contract
(Amendments to IAS 37).",1 January 2022
" Property, Plant and Equipment: Proceeds before Intended
Use (Amendments to IAS 16)",1 January 2022
 Annual improvements to IFRS standards 2018-2020,1 January 2022
" Reference to Conceptual Framework (Amendments to
IFRS 3)",1 January 2022
 IFRS 17 Insurance Contracts,1 January 2023
" Classification of liabilities as current or non-current
(Amendments to IAS 1)",1 January 2023
 Amendments to IFRS 17,1 January 2023
" Disclosure of Accounting Policies (Amendments to IAS 1
and IFRS Practice Statement 2)",1 January 2023
 Definition of Accounting Estimate (Amendments to IAS 8),1 January 2023
" Deferred Tax Related to Assets and Liabilities Arising
from a Single Transaction (Amendments to IAS 12 Income
Taxes)",1 January 2023
" Classification of liabilities as current or non-current
(Amendments to IAS 1)",1 January 2024
" Lease Liability in a Sale and Leaseback (Amendments to
IFRS 16)",1 January 2024
" Non-current Liabilities with Covenants (Amendments to
IAS 1)",1 January 2024
" Sale or Contribution of Assets between an Investor and its
Associate or Company (Amendments to IFRS 10 and IAS
28).",Optional
