Topic,Column,Response to Material Issue,SDG addressed
Social Partnerships,Employee engagement,"We have in place programs
such as training and
development, reward
scheme and recognition and
work-life flexibility.
We encourage gender
balance and through our
Diversity and Inclusion
Policy, we aim to attract and
appoint more women to
managerial positions.","1,5,8"
,Human Rights,"We have a Human Rights
Policy in place which guides
our operations and upholding
of the principles set out in the
Universal Declaration of
Human Rights and the
International Labour
Organization’s core
conventions.","5,8"
,"Reducing Poverty and
Hunger","Improved access by the
community to quality coffee,
tea, macadamia and avocado
seedlings to help small-scale
farmers/outgrowers increase
farm productivity and meet th
growing demands of the food
chain while improving their
socio-economic development
and increasing their resilience
to challenges associated with
poverty and hunger.","1,2
e"
,"Affordable quality
education","We have invested in the
provision of learning
facilities within our tea
operations and offer support
to learning institutions
within our areas of operation
through donations of
learning materials.",4
