New standard or amendments,"Effective for annual
periods beginning"
 IFRS 3 Definition of a Business,1 January 2020
" Amendments to references to the Conceptual
Framework in IFRS Standards",1 January 2020
" Amendments to IAS 1 and IAS 8 (Definition of
Material)",1 January 2020
" Interest Rate Benchmark Reform (Amendments to
IFRS 9, IAS 39 and IFRS 7)",1 January 2020
" COVID-19-Related Rent concessions (Amendment to
IFRS 16)",1 June 2020
