New standard or amendments,"Effective for annual
periods beginning
on or after"
"— Amendments to IFRS 9, IAS 39, IFRS 7, IFRS 4 and IFRS
16 Interest Rate Benchmark Reform – Phase 2",1 January 2021
"— Amendments to IAS 37 Onerous Contracts – Cost of
Fulfilling a Contract",1 January 2022
"— Amendments to IAS 16 Property, Plant and Equipment:
Proceeds before Intended Use",1 January 2022
— Annual Improvements to IFRS Standards 2018–2020,1 January 2022
"— Amendments to IFRS 3 Reference to the Conceptual
Framework",1 January 2022
"— Amendments to IAS 1 Classification of Liabilities as
Current or Non-current",1 January 2023
"— IFRS 17 Insurance Contracts and amendments to IFRS 17
Insurance Contracts",1 January 2023
"— Disclosure of Accounting Policies (Amendments to IAS 1
and IFRS Practice Statement 2)",1 January 2023
— Definition of Accounting Estimate (Amendments to IAS 8),1 January 2023
"— Deferred Tax Related to Assets and Liabilities Arising
from a Single Transaction – Amendments to IAS 12
Income Taxes",1 January 2023
"— Sale or contribution of assets between an Investor and its
Associate or Company (Amendments to IFRS 10 and IAS
20).",To be determined
