"228,055
-
-",Column,"7,046,471
-
-",Column,1,Column,"1,383,884
(81,448)
45,165",Column,"-
-"
-,-,-,"(45,165)",,- -,"(36,283)",-,-
-,-,-,-,,- -,-,-,-
-,-,-,-,,- -,-,-,-
"228,055","40,594","7,046,471","155,194",1,"0,852 -","1,347,601",-,-
"228,055","40,594","7,046,471","238,017",1,"3,229 -","1,058,270","114,028",-
"-
-
-","-
-
-","-
-
-","-
23,329",,"- -
- -
-","(98,097)
(23,329)
-","-
-
-","-
-
-"
-,-,-,"23,329",,- -,"(121,426)",-,-
-,-,-,-,,- -,"-
-","-
(114,028)",-
-,-,-,-,,- -,-,"(114,028)",-
"228,055","40,594","7,046,471","261,346",1,"3,229 -","936,844",-,-
