Category,Female,Male,Column,Total,Column,% of,Column,% of
,,,,C ount,,F emale,,M ale
Top Management,,,,,,,,
Board of Directors,2,5,7,,28.57%,,71.43%,
Company Secretary,1,0,1,,100.00%,,0.00%,
Executive Leadership,2,3,5,,40.00%,,60.00%,
Senior Management,,,,,,,,
Senior Leadership Team,3,9,12,,25.00%,,75.00%,
Middle Management,,,,,,,,
Departmental Heads (Mid-Level),4,5,9,,44.44%,,55.56%,
Lower Management,,,,,,,,
Section Heads,53,65,118,,44.92%,,55.08%,
Total,65,87,152,,42.76%,,57.24%,
